ID,RVL,ALG,PCAD,ECAD,BIM,LIVR,QAQC
17-826_Radio-Canada_archeo,5.1,0.5,0,13.25,0,0,0
17-847_Coop_Les_Colonnes,0,0,0,5.5833,0,0,0.6667
17-847_Coop_Les_Colonnes,3.25,2,7,4.4167,0,0,1.25
17-837_UdM_St-Hyacinthe,23.9167,30,0,1.0833,113.4167,1.3333,10.4167
17-827_Arkeos_Turcot_Mai17,15.2333,15.75,58.25,0,1.75,0,1.25
17-841_RMB_Rouge_Phase_6,7.25,9.6667,0,0,2.75,0,0
17-858_Yvon_BGLA_Condo,2,6.3333,4.75,0,2.6667,0,2
17-767_Artefacts_Musee_Culture_populaire,29.25,42.3333,0,0,209.25,0.25,3
17-863_1650_St-Timothee,0,4.3333,0,0,0,0,10.0833
17-866_Tafisa_Megantic,10.3333,6.5833,0,0,0,0,0
17-843_Chute_de_neige,0,0,0,15.25,10.75,0,4.9167
17-724_Eglise_Nativite_Beauport,0,0,0,0,0,1,0
17-724_Eglise_Nativite_Beauport,0,0,0,0,47.9167,0,6.25
17-724_Eglise_Nativite_Beauport,17.9167,8.25,0,0,67.4167,0,0.1667
17-773_MSDL_Dow,3.9166,1.5,0,0,0,1,7
17-855_TMG_Sanimax,5.5,3.5,0,0,0,0,0
17-813_ATFF_Pont_Part-Dieu,0,0,0,0,0,0.75,3.1667
17-810_Place_Ville-Marie,13,30.4167,0,0,0,1.1667,5.5
17-810_Place_Ville-Marie,122.5833,133.4167,0,0,0,1.5,4.25
17-874_CFPP_Ste-Julie,5,3.25,0,0,0,0,0
17-848_Effika_3D,0,0,0,0,0,0,0.75
17-882_SLC-Place_Ville-Marie,18.0833,31.9167,0,0,0,0,0
17-878_425_Viger_Ouest,5.25,3.75,0,0,0,1.5,1.5
17-860_Siemens_Benchroom,5,4,0,0,108.1667,0,12.5833
17-886_ALMAC_Lanoraie,5,12.5,0,0,0,0,2.6667
17-868_FX_Drolet,40.25,32.5,0,0,50.0833,0,3.8333
17-868_FX_Drolet,0,0,0,0,20.0833,0,0
17-868_FX_Drolet,0,0,0,0,16.75,0,0
17-868_FX_Drolet,0,0,0,0,140.3333,0,0.5
17-868_FX_Drolet,0,0,0,0,86.6667,0,0
17-868_FX_Drolet,0,0,0,0,7.0833,0,0
17-898_Geniarp_Ponceau,0,0,0,0,0,0,0
17-890_Stantec_Defense,0,1.75,0,0,0,0,0
17-890_Stantec_Defense,0,2,0,0,0,0,0
17-869_Pylone,3.75,0.75,0,2,0,0,5
17-903_Granby_Archeo,2.25,1.25,0,3.75,0,0,2.75
17-828_ATFF_St-Amour,0,124.6667,0,0,814.3333,0.25,55.6667
17-834_Clocher_St-Jacques_photogram,0,0,0,0,0,0,0
17-905_5202_Avenue_Walkley,1,0.5,0,0,0,0,0
17-888_CIUSSS_2_batiments,15.1667,8.8333,36.8333,95.6667,0,0,9.3333
17-888_CIUSSS_2_batiments,66.25,81.6667,144.5833,55.6667,0,0.6667,33.0833
17-912_iSCAN_PMI_Pointe-Noire,7.25,5.25,5.5,0,0,0,0
17-887_FEDNAV,5.5,0,0,0,0,0,0
17-914_Sarcophage_Jordi_Bonnet,1.1667,0.5,0,0,0,0,0
